Label,Comment,Encoding,PcNext,IME,RegRead1Sel,RegRead2Sel,RegWriteSel,RegOp,IncOp,IncReg,AluOp,AluSelA,AluSelB,AluFlagSet,MemEn,MemWr,MemAddrSel,MicroBranch,NextState
,,,-,=,-,H,SP_Hi,WriteAlu,-,-,CopyB,-,Reg2,No,-,-,-,Fetch,-
PUSH AF,,11110101,Same,=,-,-,-,None,Dec,SP,-,-,-,No,No,No,-,Next,-
,,,Same,=,-,A,-,None,Dec,SP,CopyB,-,Reg2,No,Yes,Yes,Incrementer,Next,-
,,,Same,=,-,F,-,None,No,SP,CopyB,-,Reg2,No,Yes,Yes,Incrementer,Jump,NOP
POP AF,,11110001,Same,=,-,-,F,WriteMem,Inc,SP,CopyB,-,Reg2,No,Yes,No,Incrementer,Next,-
,,,Same,=,-,-,A,WriteMem,Inc,SP,CopyB,-,Reg2,No,Yes,No,Incrementer,Jump,NOP
PUSH rr,,11??0101,Same,=,-,-,-,None,Dec,SP,-,-,-,No,No,No,-,Next,-
,,,Same,=,-,Reg16Hi,-,None,Dec,SP,CopyB,-,Reg2,No,Yes,Yes,Incrementer,Next,-
,,,Same,=,-,Reg16Lo,-,None,No,SP,CopyB,-,Reg2,No,Yes,Yes,Incrementer,Jump,NOP
POP rr,,11??0001,Same,=,-,-,Reg16Lo,WriteMem,Inc,SP,-,-,-,No,Yes,No,Incrementer,Next,-
,,,Same,=,-,-,Reg16Hi,WriteMem,Inc,SP,-,-,-,No,Yes,No,Incrementer,Jump,NOP
"ADD HL,rr",16-bit add,00??1001,Same,=,L,Reg16Lo,L,WriteAlu,No,-,AddLo,Reg1,Reg2,No,No,-,-,Next,-
,,,-,=,H,Reg16Hi,H,WriteAlu,-,-,AddHi,Reg1,Reg2,-***,-,-,-,Fetch,-
"ADD SP,dd",,11101000,IncOut,=,-,-,W,WriteMem,Inc,PC,-,-,-,No,Yes,No,Incrementer,Next,-
,,,Same,=,SP_Lo,W,SP_Lo,WriteAlu,No,-,AddLo,Reg1,Reg2,0***,No,-,-,Next,-
,,,Same,=,SP_Hi,W,SP_Hi,WriteAlu,No,-,AddHi,Reg1,SignReg2,No,No,-,-,Jump,NOP
"ld HL,SP+dd",,11111000,IncOut,=,-,-,W,WriteMem,Inc,PC,-,-,-,No,Yes,No,Incrementer,Next,-
,,,Same,=,SP_Lo,W,L,WriteAlu,No,-,AddLo,Reg1,Reg2,0***,No,-,-,Next,-
,,,-,=,SP_Hi,W,H,WriteAlu,-,-,AddHi,Reg1,SignReg2,No,-,-,-,Fetch,-
JR e,,00011000,IncOut,=,-,-,W,WriteMem,Inc,PC,-,-,-,No,Yes,No,Incrementer,Next,-
